fine_template,count
RB + RB + DT + NN + VBZ,1
DT + JJ + NN + VBZ + RB,1
UH + PRP + VBZ + JJ,1
NN + VBZ + RB + VB + IN + PRP,1
NNP + POS + JJ + NN + NNP,1
VBZ + PRP + IN + DT + JJ,1
DT + NNS + VBP + RP + PRP$ + NN,1
VB + RP + PRP$ + NN,1
WP + MD + VB + RP + PRP$ + NN + RB,1
JJ + IN + NN,1
PRP + VBD + PRP$ + JJS + NN,1
RB + CD + NNS + RB,1
RB + VBG + IN + PRP$ + NNS,1
RB + RB + VBZ + DT + JJ + NN,1
DT + NN + IN + PRP$ + NN + RB + VBZ,1
DT + JJ + NN + POS + JJ + NN,1
NNP + DT + JJ + NN,1
WRB + VBD + DT + JJ + NN + VB,1
JJ + IN + DT + NN,1
RB + IN + VBG + JJ,1
NNP + PRP + CD,1
IN + DT + NNS + WP + VBD + RB + VBP + RB,1
DT + NN + IN + PRP + VBZ + TO + VB + JJ,1
WP + VBZ + DT + JJ + NN + NNP + POS + NN,1
NN + IN + WP,1
IN + PRP + VBP + IN + PRP,1
VB + RP + NNP + NNS,1
NN + VBD + RB + NN + IN + RB,1
PRP + MD + VB + VBN + RB,1
NNS + VBP + VBN + VBN + RB,1
DT + NN + VBZ + IN + CD,1
DT + NN + VBZ + RB + VBN,1
VBG + CD + NNS + IN + JJ + NN,1
PRP + VBZ + RB + RB + IN + NN + NN,1
VBG + PRP$ + NNS,1
RB + VBZ + NNP + NN + NN,1
IN + NN + NNP + POS + NN + NN,1
DT + NN + IN + JJ + CD + POS + NN,1
PRP$ + NNS,1
IN + VBG + JJ + NNS,1
IN + PRP + VBP + DT + NN,1
NN + POS + JJ,1
WP + VBP + PRP + VB + RB,1
VB + WP + TO + VB,1
DT + NNS + VBP + JJ,1
DT + NN + RB + VBZ,1
UH + NNS,1
CD + NN + NN + NNS + CC + CD + NNS,1
DT + NNS + RB + VBP + RP,1
NNP + VBZ + DT + NN + NN,1
NN + NNS + DT + JJ + NN,1
DT + NN + VBZ + VBN + IN + NN,1
NNP + VBD + DT + NN + JJ + TO + VB + PRP$ + NN,1
NN + VBZ + VBN + RP,1
WP + VBP + DT + NNS + IN,1
VBZ + PRP$ + NN + VBN + RB,1
WP + VBZ + DT,1
WP + IN + DT + NN + VBZ + DT + IN,1
DT + VBZ + DT + NN,1
PRP + VBP + TO + VB + DT + RP,1
PRP$ + NN + MD + VB + VBN,1
MD + PRP + VB + JJ + TO + VB + RP + DT + NNP,1
RB + RB + RB + RB,1
UH + UH + VBP + RB + VB + RP,1
DT + CD + NNS + VBD + VBN,1
WP + VBP + DT + CD + NNS + VBP + TO + VB,1
NNP + POS + VB + RP + NN + NN + VBZ,1
VBZ + TO + VB + JJ,1
CC + JJ + VBZ,1
JJ + RP + NN + NN + IN + NN,1
PRP$ + NNS + VBD + TO + VB + IN + NN,1
IN + DT + JJ + CD + NNS,1
RB + CD + JJ + RP + NN + NN,1
RB + JJ + IN + VBG + DT + NN,1
PRP + VBZ + PRP,1
WP + VBZ + NN + VB + TO + VB,1
IN + PRP + VBD + PRP + VB,1
CC + NNP + VBD + TO + VB + PRP + RP,1
VBG + IN + DT + NN,1
PRP + VBZ + NN + TO + VB + NNS + IN + DT + NN,1
NNP + VBD + CD + NNS,1
NNS + VBP + VBG + RP + CD + IN + CD,1
WP + VBZ + DT + NN + NN,1
VB + VB,1
JJ + CC + NN + NN,1
VBG + RB + JJ,1
NNP + UH,1
NNP + DT + VBD + RB + JJ,1
NN + RB + VBZ + RP,1
NNP + VBG + IN + JJ + NN,1
VB + VBG + NN + CC + TO + VB + NNS,1
NNS + NNP,1
NNP + VBZ + RB,1
VBN + NN + NNS,1
NNP + VBZ + IN + NNP,1
NNP + NNP + NNS + IN + DT + NN,1
NFP,1
NN + SYM + NNS,1
NNS + VBP + NN,1
NN + RB + NN,1
NN + NNS + RB,1
LS,1
NN + NN + RP,1
DT + VBG + RB,1
NNP + NNS + VBP,1
NN + NN + CC + VBG,1
NNP + VBP,1
NN + NN + CC + NN,1
NNS + CC + NNS + VBG,1
RBR + JJ + NN,1
RB + RBR,1
JJR + NN + NN,1
VB + IN + NN,1
NNS + VBG + NNS + VBP,1
VBZ + IN + NN,1
NN + VBG + JJ,1
CC,1
JJ + NN + IN + NN + NNS,1
DT + NN + IN + UH + NN,1
DT + NN + IN + DT + NN + RB,1
DT + NN + IN + DT + NN + NNS,1
DT + NN + IN + DT + NN + NNP,1
WRB + VBP + PRP + VBG + DT,1
NNS + VBP + VBG + PRP + NN,1
PRP + VBP + RB + VBG + VBN + TO + VB + NN,1
NNP + JJ + NN + VBZ,1
NNS + VBG + JJ + NN,1
NN + VBG + IN + JJ + NN,1
NNP + NNP + NNP + NN,1
NN + NN + NN + VBG,1
JJ + NNS + VBP,1
VBG + NNP,1
PRP + RB,1
VB + VB + VB,1
NN + IN + PRP,1
JJ + VBG + RB,1
RB + VBN + NN,1
NNP + UH + NNS,1
NN + VBP + PRP + DT,1
NNP + RB + VBG,1
NNP + JJ + VBN,1
IN + DT + NN + JJ,1
NN + VBG + IN + DT + NN,1
VBG + UH + RB,1
NN + VBZ + NNP + NNS,1
RB + NN + NN + VBG,1
NNS + VBG + RP,1
NN + VBG + CC + NN,1
VBG + JJ + JJ,1
NN + NNS + RBR,1
UH + POS + IN + PRP + VBZ,1
NNP + NNP + IN + NNP,1
NNP + CC + VBN,1
NNS + NN + CC + NN,1
NNS + IN + NN + VBG,1
VB + VBG + RB,1
NNP + RB + VBZ,1
JJ + NNS + NN,1
JJ + NNP + NN + NN,1
VB + NNS + CC + NN,1
DT + NNS + VBP + NN,1
JJ + CC + VBG,1
VBG + VBG + NN + NN,1
JJ + NN + VBZ + RB + VBZ,1
NN + VBZ + VBZ,1
PRP + VBZ + DT + NN,1
VBG + DT + JJ + NN + NN,1
