coarse_template,frequency,template_length
ADV + ADJ + ADP + VERB + DET + NOUN,1,6
PRON + VERB + PRON,1,3
PRON + AUX + NOUN + VERB + PART + VERB,1,6
SCONJ + PRON + VERB + PRON + VERB,1,5
CCONJ + PROPN + VERB + PART + VERB + PRON + ADP,1,7
VERB + ADP + DET + NOUN,1,4
PRON + AUX + NOUN + PART + VERB + NOUN + ADP + DET + NOUN,1,9
PROPN + VERB + NUM + NOUN,1,4
NOUN + AUX + VERB + ADP + NUM + ADP + NUM,1,7
PRON + AUX + DET + NOUN + NOUN,1,5
ADJ + CCONJ + NOUN + NOUN,1,4
VERB + ADV + ADJ,1,3
PROPN + INTJ,1,2
PROPN + PRON + AUX + ADV + ADJ,1,5
NOUN + ADV + VERB + ADP,1,4
VERB + VERB + NOUN + CCONJ + PART + VERB + NOUN,1,7
NOUN + PROPN,1,2
PROPN + VERB + ADP + PROPN,1,4
PROPN + PROPN + NOUN + ADP + DET + NOUN,1,6
PUNCT,1,1
NOUN + SYM + NOUN,1,3
NOUN + ADV + NOUN,1,3
NOUN + NOUN + ADP,1,3
NOUN + NOUN + CCONJ + VERB,1,4
INTJ + INTJ,1,2
CCONJ,1,1
ADJ + NOUN + ADP + NOUN + NOUN,1,5
DET + NOUN + ADP + INTJ + NOUN,1,5
DET + NOUN + ADP + DET + NOUN + ADV,1,6
DET + NOUN + ADP + DET + NOUN + NOUN,1,6
DET + NOUN + ADP + DET + NOUN + PROPN,1,6
SCONJ + AUX + PRON + VERB + PRON,1,5
NOUN + AUX + VERB + PRON + NOUN,1,5
PRON + AUX + ADV + AUX + VERB + PART + VERB + NOUN,1,8
PROPN + ADJ + NOUN + VERB,1,4
NOUN + VERB + ADJ + NOUN,1,4
PROPN + PROPN + PROPN + NOUN,1,4
ADJ + VERB + ADV,1,3
ADV + VERB + NOUN,1,3
PROPN + INTJ + NOUN,1,3
NOUN + VERB + PRON + PRON,1,4
PROPN + ADJ + VERB,1,3
ADP + DET + NOUN + ADJ,1,4
VERB + INTJ + ADV,1,3
ADV + NOUN + NOUN + VERB,1,4
NOUN + VERB + PROPN + NOUN,1,4
NOUN + VERB + CCONJ + NOUN,1,4
VERB + ADJ + ADJ,1,3
INTJ + PART + SCONJ + PRON + VERB,1,5
PROPN + PROPN + ADP + PROPN,1,4
PROPN + CCONJ + VERB,1,3
NOUN + ADP + NOUN + VERB,1,4
DET + VERB,1,2
ADJ + PROPN + NOUN + NOUN,1,4
VERB + NOUN + CCONJ + NOUN,1,4
DET + NOUN + VERB + NOUN,1,4
ADJ + CCONJ + VERB,1,3
VERB + VERB + NOUN + NOUN,1,4
ADJ + NOUN + VERB + ADV + VERB,1,5
PRON + VERB + DET + NOUN,1,4
VERB + DET + ADJ + NOUN + NOUN,1,5
